                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.91332,                0.89904,                 1.3357,                0.95035,                      1,                  0.995,                0.83353,                0.67326,                 1.0435,                 1.1201,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 1.0631,                0.81351,                  1.408,                0.95035,                      1,                  0.995,                0.83353,                0.67326,                 1.0435,                 1.1201,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.82409,                0.75815,                 1.3064,                0.93006,                      1,                  0.995,                0.83357,                0.65377,                 1.0468,                 1.1125,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.86743,                0.83365,                 1.2832,                0.93006,                      1,                  0.995,                0.83357,                0.65377,                 1.0468,                 1.1125,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.91256,                0.88736,                 1.3997,                0.93006,                      1,                  0.995,                0.83357,                0.65377,                 1.0468,                 1.1125,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.93703,                0.85483,                 1.2789,                0.92232,                      1,                  0.995,                0.87075,                0.67109,                  1.049,                 1.1132,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                  1.059,                0.94974,                 1.4034,                0.92232,                      1,                  0.995,                0.87075,                0.67109,                  1.049,                 1.1132,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.94373,                0.77739,                 1.3152,                0.92232,                      1,                  0.995,                0.87075,                0.67109,                  1.049,                 1.1132,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.85562,                  0.704,                 1.3145,                0.91617,                      1,                  0.995,                0.84596,                0.69579,                 1.0581,                 1.1181,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.87324,                0.96833,                 1.3043,                0.91617,                      1,                  0.995,                0.84596,                0.69579,                 1.0581,                 1.1181,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.89936,                 0.7368,                 1.2415,                0.91617,                      1,                  0.995,                0.84596,                0.69579,                 1.0581,                 1.1181,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 1.0371,                0.96417,                 1.3967,                0.91272,                      1,                  0.995,                0.84598,                0.69504,                 1.0804,                 1.1223,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.92943,                0.85214,                  1.367,                0.91272,                      1,                  0.995,                0.84598,                0.69504,                 1.0804,                 1.1223,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.92079,                 0.9288,                 1.3733,                0.91272,                      1,                  0.995,                0.84598,                0.69504,                 1.0804,                 1.1223,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.87011,                0.85096,                 1.3934,                0.91209,                      1,                  0.995,                  0.846,                0.71811,                 1.0134,                 1.1415,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.88525,                 0.7923,                   1.35,                0.91209,                      1,                  0.995,                  0.846,                0.71811,                 1.0134,                 1.1415,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.0176,                0.98695,                  1.219,                0.91209,                      1,                  0.995,                  0.846,                0.71811,                 1.0134,                 1.1415,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.83741,                0.75555,                 1.2185,                0.90821,                      1,                  0.995,                0.84606,                0.73089,                0.96483,                   1.14,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.90288,                0.71743,                 1.2151,                0.90821,                      1,                  0.995,                0.84606,                0.73089,                0.96483,                   1.14,             2.6021e-05,             2.6021e-05,             2.6021e-05
