                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.0931,                0.74165,                 1.2752,                0.11605,                0.23209,                0.09759,                0.08024,                 1.5305,                 6.4725,                 1.8659,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                 1.1662,                0.77068,                 1.3121,                0.11605,                0.23209,                0.09759,                0.08024,                 1.5305,                 6.4725,                 1.8659,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                 1.0368,                0.73437,                 1.2369,                0.11824,                0.23649,                0.08965,                0.07357,                 1.5397,                 6.4964,                 1.8705,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                 1.0207,                0.68421,                 1.2681,                0.11824,                0.23649,                0.08965,                0.07357,                 1.5397,                 6.4964,                 1.8705,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                 1.0907,                0.69252,                 1.2935,                0.03333,                    0.5,                0.07891,                0.06501,                 1.5399,                 6.5026,                 1.8719,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                 1.1233,                0.84547,                 1.2911,                0.03333,                    0.5,                0.07891,                0.06501,                 1.5399,                 6.5026,                 1.8719,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                 1.1369,                0.83045,                 1.3817,                 0.1157,                 0.2314,                0.08965,                 0.0735,                 1.5166,                 6.4415,                 1.8567,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                 1.0926,                0.84478,                 1.3465,                 0.1157,                 0.2314,                0.08965,                 0.0735,                 1.5166,                 6.4415,                 1.8567,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                 1.1685,                0.87433,                 1.3686,                 0.1249,                 0.2498,                0.09129,                0.07487,                 1.4835,                 6.3911,                 1.8238,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                 1.2055,                0.85505,                  1.425,                 0.1249,                 0.2498,                0.09129,                0.07487,                 1.4835,                 6.3911,                 1.8238,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                 1.1434,                0.83405,                 1.3625,                0.12346,                   0.25,                0.09129,                0.07483,                 1.4672,                 6.3751,                 1.8175,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                 1.0606,                0.75083,                 1.3045,                0.12346,                   0.25,                0.09129,                0.07483,                 1.4672,                 6.3751,                 1.8175,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                 1.1573,                0.88336,                 1.3647,                 0.1194,                   0.25,                0.08965,                0.07344,                 1.4372,                 6.3199,                 1.7987,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                 1.1325,                0.83435,                 1.3438,                 0.1194,                   0.25,                0.08965,                0.07344,                 1.4372,                 6.3199,                 1.7987,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                 1.1523,                0.83849,                 1.3155,                0.11703,                   0.25,                0.08965,                0.07342,                 1.4097,                 6.2018,                 1.7825,             3.5462e-06,             3.5462e-06,             3.5462e-06
